Entrez	Symbol	AMO_D_discoideum	AMO_E_histolytica	AMO_P_pallidum	EXC_G_intestinalis	EXC_L_major	EXC_N_gruberi	EXC_T_brucei	EXC_T_vaginalis	OPI_B_dendrobatidis	OPI_B_floridae	OPI_C_albicans	OPI_C_elegans	OPI_C_neoformans	OPI_C_owczarzaki	OPI_D_melanogaster	OPI_D_rerio	OPI_E_cuniculi	OPI_G_gallus	OPI_H_sapiens	OPI_M_brevicollis	OPI_M_domestica	OPI_M_musculus	OPI_N_ceranae	OPI_N_crassa	OPI_N_vectensis	OPI_O_anatinus	OPI_R_norvegicus	OPI_S_cerevisiae	OPI_S_pombe	OPI_S_rosetta	OPI_T_adhaerens	OPI_T_hominis	OPI_U_maydis	OPI_X_tropicalis	PLA_A_thaliana	PLA_C_reinhardtii	PLA_M_pusilla	PLA_O_sativa	PLA_O_tauri	PLA_P_patens	PLA_V_carteri	SAR_B_bovis	SAR_B_hominis	SAR_C_parvum	SAR_E_siliculosus	SAR_P_falciparum	SAR_P_infestans	SAR_P_sojae	SAR_P_tetraurelia	SAR_P_tricornutum	SAR_T_gondii	SAR_T_parva	SAR_T_pseudonana	SAR_T_thermophila
43	Matryoshka_10285	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	1	0	0	1	0	1	1	0	0	1	2	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	Matryoshka_10286	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	2	2	0	2	2	0	0	2	3	2	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	Matryoshka_10287	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	2	0	0	1	1	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	Matryoshka_10296	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	2	0	1	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0
47	Matryoshka_1030	1	0	1	1	2	1	0	3	3	1	1	1	0	2	1	3	0	1	1	1	1	0	0	2	1	0	1	1	1	1	0	0	0	3	1	1	1	1	1	1	1	0	0	1	2	0	1	1	0	1	1	1	1	1
48	Matryoshka_10307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	Matryoshka_10298	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	Matryoshka_1032	1	1	1	1	1	1	1	0	1	1	2	1	1	1	2	1	0	1	1	2	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	1	1	0	2	1	1	2	1	1	1	2
51	Matryoshka_10334	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	2	0	1	2	0	2	2	0	0	1	3	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
52	Matryoshka_1035	1	0	1	0	0	2	0	0	1	1	1	1	1	1	2	1	0	1	1	1	1	1	0	2	2	2	1	0	0	1	2	0	1	1	1	2	0	1	1	1	2	0	0	0	1	0	1	1	1	0	0	0	1	1
53	Matryoshka_10343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
54	Matryoshka_10350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	3	1	0	2	0	1	0	2	2	0	1	0	0	1	0
55	Matryoshka_10357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	2	0	0	0	1	0	0	0	0	2	0	0	0	0
56	Matryoshka_10358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	2	1	2	2	0	0	0	1	0	0	0	0	1	1	0	3	0
57	Matryoshka_1036	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	2	0	1	1	0	1	1	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
58	Matryoshka_10361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
59	Matryoshka_10363	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	2	0	1	0	0	1	0
60	Matryoshka_10364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	3	1	1	1	1	1	0	0	0	1	0	2	2	0	1	0	0	0	0
61	Matryoshka_10371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	2	1	1	2	3	2	0	0	0	1	0	0	0	0	1	0	0	2	0
62	Matryoshka_10377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0
63	Matryoshka_10384	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	1	0	0	0	1	0	1	1	1	0	0	0	0	1
64	Matryoshka_10385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	1	0
65	Matryoshka_10380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	2	1	2	0	0	0	1	0	0	1	0	1	0	0	3	0
66	Matryoshka_10381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	1	2	1	2	0	0	0	1	0	0	0	0	1	1	0	3	0
67	Matryoshka_10383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	2	0	0	0	0	1	0	0	1	0
68	Matryoshka_10386	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	1	2	1	0	0	1	0	0	0	0	1	0	0	0	0
69	Matryoshka_10388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	2	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0
70	Matryoshka_10391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	2	0	0	0	0	1	0	0	1	1
71	Matryoshka_10392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	1	1	1	0	0	0	2	0	0	0	0	1	0	0	1	0
72	Matryoshka_10394	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	2	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
73	Matryoshka_10395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
74	Matryoshka_10401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0
75	Matryoshka_10416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1
76	Matryoshka_1041	1	1	1	0	1	2	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	2	1	1	1	2	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
77	Matryoshka_10423	1	0	2	0	1	3	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1
78	Matryoshka_1043	2	2	2	1	2	1	2	2	1	2	2	2	2	2	2	2	1	2	2	1	2	2	1	2	1	2	2	2	2	2	1	1	2	2	2	1	2	2	2	2	2	2	1	1	2	1	1	1	1	1	1	2	2	2
79	Matryoshka_10425	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	3	2	1	0	0	2	2
80	Matryoshka_10440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
81	Matryoshka_10449	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2
82	Matryoshka_10438	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	1
83	Matryoshka_10439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	2	0	1	0	0	0	1	0	2	0	1	1	2	2	0	0	1	2
84	Matryoshka_10441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
85	Matryoshka_10458	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
86	Matryoshka_10443	1	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	1	0
87	Matryoshka_1046	1	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	0	1	0	0	1	3	1	3	1	3	1	1	1	0	1	0	1	0	2	1	0	1	0	0	1	0
88	Matryoshka_10480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
89	Matryoshka_10479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
90	Matryoshka_1051	1	1	2	1	1	1	1	2	1	2	0	1	0	2	1	1	0	2	2	2	2	2	0	2	2	2	2	0	0	2	1	0	1	1	2	1	1	2	1	1	1	0	1	0	1	0	1	1	2	2	0	0	3	2
91	Matryoshka_10542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	3	1	1	0	0	0	2	0	0	0	0	1	0	0	1	0
92	Matryoshka_10489	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1	1	0	1	1	0	0	2	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	Matryoshka_10535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	3	1	0	0	0	1	1	0	0	0	1	1	0	1	0
94	Matryoshka_10536	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	3	1	0	0	0
95	Matryoshka_10543	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
96	Matryoshka_10546	0	0	0	0	0	1	0	0	0	1	0	1	0	1	2	1	0	1	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97	Matryoshka_10547	0	0	0	0	0	0	0	0	0	1	0	2	0	2	2	1	0	0	2	0	1	1	0	0	1	3	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
98	Matryoshka_10548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	2	1	2	0	0	0	1	1	0	0	0	1	1	0	1	0
99	Matryoshka_10552	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	1	0	2	0	0	1	0
100	Matryoshka_10556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	1	0	1	0	0	1	2	0	0	0	1	1	1	3	0
101	Matryoshka_10557	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	2	0	1	2	1	1	0
102	Matryoshka_10559	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	2	1	1	1	0	0	1	0	1	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	Matryoshka_1056	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	2	1	1	1	1	2	1	1	0	1	1	2	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
104	Matryoshka_10560	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	1	2	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0
105	Matryoshka_1057	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
106	Matryoshka_10568	0	0	0	0	0	0	0	0	0	2	0	2	0	2	2	2	0	2	2	0	2	2	0	0	2	0	2	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
