Entrez	Symbol	L_waltii	L_thermotolerans	L_kluyveri	E_cymbalariae	E_gossypii	K_lactis	T_delbrueckii	Z_rouxii	S_cerevisiae	S_mikatae	S_kudriavzevii	S_bayanus	C_glabrata	K_africana	K_naganishii	N_castellii	N_dairenensis	T_blattae	T_phaffii	V_polyspora
104	YGL084C	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
105	YHR199C	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2
106	YGL018C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
107	YBR146W	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
108	YBR002C	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
109	YKL194C	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
110	YIL125W	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
111	YHR008C	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
112	YLR361C	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1
113	YGR243W	1	1	2	2	2	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1
114	YFL001W	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1
115	YDR302W	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
116	YDL177C	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
117	YJL023C	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1
118	YLR069C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2
119	YPL172C	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	1	2	2	1	2
120	YLR142W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2
121	YPR105C	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
122	YLR118C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
123	YBR156C	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
124	YLR295C	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
125	YLL033W	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	2	1	1	1	1
126	YFL025C	1	1	2	2	1	1	1	2	2	2	2	2	2	1	2	2	2	1	1	1
127	YIL039W	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1
128	YDL033C	1	1	1	1	1	1	1	2	2	2	2	2	1	2	1	1	1	1	1	1
129	YDR411C	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
130	YLR063W	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
131	YOR142W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
132	YIL110W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
133	YKL085W	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2
134	YIR024C	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2
135	YML120C	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
136	YFR049W	1	2	2	1	2	1	1	2	2	2	2	2	1	1	2	1	2	1	1	2
137	YIL101C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
138	YJL095W	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
139	YLR389C	2	1	1	1	2	2	2	1	1	2	1	2	2	1	1	1	2	1	2	2
140	YKL114C	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1
141	YNL284C	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2
142	YKL135C	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
143	YNR013C	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
144	YHL025W	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1
145	YGR101W	1	2	1	1	2	2	2	1	2	2	2	2	2	1	1	2	2	2	2	1
146	YHR011W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
147	YFR006W	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1
148	YPR166C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
149	YGR215W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
150	YLR439W	2	2	2	2	1	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2
151	YIL157C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2
152	YML080W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
153	YMR171C	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
154	YDL183C	2	2	2	1	1	2	1	1	2	2	1	2	2	1	2	2	1	2	2	1
155	YOL114C	2	2	1	2	2	2	2	2	1	1	2	2	2	2	2	1	2	1	1	1
156	YMR228W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
157	YML042W	2	2	1	2	2	2	2	1	2	2	2	2	1	1	2	2	2	2	2	2
158	YKL176C	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
159	YDR087C	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
160	YNL117W	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
161	YBR039W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
162	YLR141W	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
163	YOR232W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
164	YIL022W	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
165	YOL054W	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
166	YPL051W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
167	YML077W	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
168	YGL138C	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
169	YGL057C	2	2	2	2	2	2	2	2	1	2	2	2	1	1	2	2	1	2	2	2
170	YBR185C	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2
171	YBR073W	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1
172	YMR257C	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
173	YDR234W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
174	YER182W	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2
175	YDR036C	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
176	YGR046W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
177	YPL215W	2	2	1	2	2	2	1	2	2	2	1	1	2	2	2	1	2	2	2	2
178	YJL071W	1	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2
179	YGL059W	2	1	1	2	2	2	2	2	1	1	1	1	1	1	2	2	2	1	2	2
180	YCL005W	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
181	YOL027C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2
182	YJR111C	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
183	YPL097W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
184	YBR251W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2
185	YMR256C	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
186	YNL137C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
187	YHL022C	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
188	YGR110W	1	1	1	1	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	2
189	YER078C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2
190	YHR120W	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	1	2	2	2	2
191	YLR239C	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	1	2
192	YOR356W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
193	YNL132W	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1
194	YLR193C	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1
195	YJR058C	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1
196	YCR024C	1	1	2	2	2	1	2	1	2	2	2	2	2	1	2	2	1	2	2	2
197	YBR026C	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	2	2
198	YOR236W	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
199	YDL178W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
200	YLR367W	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	2	1	2	1	1
201	YNL315C	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2
202	YDR175C	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
203	YDL066W	1	1	2	1	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	1
204	YPL157W	2	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1
205	YFR031C-A	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
206	YBR056W	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
207	YNL191W	1	2	2	1	1	1	1	2	2	2	2	1	2	2	1	2	1	1	2	2
208	YKR082W	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
209	YPR191W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
210	YGR119C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
211	YJR113C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2
212	YOL033W	2	2	1	1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2
213	YML110C	1	2	2	2	1	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2
214	YER087W	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	1	2	1	2	1
215	YPL147W	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
216	YOR205C	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2
217	YKL029C	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2
218	YLL023C	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
219	YGL142C	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1
220	YDL120W	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
221	YPL252C	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
222	YLR395C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
223	YJR008W	1	1	1	1	2	1	1	1	1	2	1	1	1	2	2	1	2	1	1	1
224	YNL063W	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
225	YBR213W	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
226	YNL252C	2	1	2	1	1	1	2	2	2	2	2	2	2	1	1	1	2	2	2	2
227	YHR144C	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
228	YPR047W	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2
229	YKL139W	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
230	YMR098C	2	2	2	2	2	2	2	2	1	2	1	1	1	2	2	2	2	2	2	2
231	YBR242W	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
232	YPR151C	2	2	2	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2
233	YDR249C	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
234	YDR444W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
235	YOR298W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
236	YHR168W	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	1	2	2	2	1
237	YNR040W	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
238	YLR290C	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
239	YEL052W	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2
240	YMR157C	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
241	YNL211C	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
242	YCR068W	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2
243	YPL131W	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
244	YAL027W	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1
245	YJR084W	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
246	YBR128C	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
247	YNR017W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
248	YJL016W	1	1	1	1	1	1	1	1	1	2	2	2	1	1	2	1	1	1	1	1
249	YLR378C	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
250	YOR201C	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2
251	YGL169W	1	1	2	1	1	2	2	1	1	1	2	1	1	2	2	1	2	1	1	2
252	YKL048C	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
253	YBL013W	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
254	YLR459W	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
255	YKR006C	2	2	2	1	2	2	2	1	2	2	2	2	2	1	2	2	1	2	2	2
256	YDR258C	2	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2
257	YKL040C	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
258	YKR004C	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
259	YHR031C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
260	YBR074W	1	2	2	2	1	1	1	1	2	2	1	1	2	1	1	1	1	2	1	1
261	YPR033C	2	1	2	2	2	2	1	2	2	2	2	2	1	2	2	2	1	1	2	2
262	YIR022W	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1
263	YNL165W	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
264	YCR083W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1
265	YLR396C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
266	YDR237W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
267	YBR269C	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	1
268	YDL139C	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
269	YKL170W	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2
270	YBL020W	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
271	YJL208C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
272	YPR067W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2
273	YBR175W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
274	YDR481C	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
275	YPL132W	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2
276	YDR339C	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
277	YJL004C	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	2	1
278	YJR072C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
279	YDR435C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
280	YLR386W	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
281	YGR112W	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2
282	YNR036C	1	2	2	2	2	2	1	2	2	2	2	2	1	1	2	1	2	2	2	2
283	YNL262W	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1
284	YBR263W	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2
285	YLR312W-A	2	1	2	1	2	2	2	2	2	2	2	2	1	1	1	1	2	2	1	2
